,cardiff_score,Likes,Retweets
0,0.2592742592096329,0.0,0.0
1,0.4668939188122749,0.0,0.0
2,0.2224800586700439,0.0,0.0
3,0.4160701110959053,0.0,0.0
4,0.1385843157768249,1.0,6.0
5,0.3677724748849869,13.0,33.0
6,0.3381399661302566,0.0,0.0
7,0.9249635934829712,0.0,0.0
8,0.6932356059551239,0.0,0.0
9,0.222373366355896,0.0,0.0
10,0.3327018320560455,0.0,1.0
11,0.2113194465637207,0.0,0.0
12,0.507439311593771,0.0,0.0
13,0.1617599427700042,0.0,0.0
14,0.4928177930414677,0.0,0.0
15,0.4252847284078598,0.0,3.0
16,0.4993418734520674,2.0,3.0
17,0.4607167690992355,0.0,3.0
18,0.6689547151327133,0.0,0.0
19,0.5175358653068542,0.0,0.0
20,0.4395033270120621,1.0,1.0
21,0.4197427928447723,0.0,2.0
22,0.510057806968689,0.0,0.0
23,0.4012570083141327,0.0,3.0
24,0.539582684636116,0.0,0.0
25,0.3246342539787292,1.0,2.0
26,0.4881687015295029,0.0,0.0
27,0.9659658074378968,0.0,0.0
28,0.4671448618173599,0.0,0.0
29,0.3946958780288696,0.0,0.0
30,0.9177400767803192,0.0,2.0
31,0.2591337561607361,0.0,1.0
32,0.54641954600811,1.0,0.0
33,0.518186442553997,0.0,0.0
34,0.4993377886712551,0.0,0.0
35,0.1973476111888885,0.0,0.0
36,0.1807557940483093,0.0,0.0
37,0.3678203672170639,0.0,0.0
38,0.3824713677167892,1.0,0.0
39,0.3824713677167892,0.0,1.0
40,0.0428197681903839,0.0,0.0
41,0.4486631155014038,1.0,1.0
42,0.3818173035979271,0.0,0.0
43,0.4584430679678917,0.0,0.0
44,0.2380424439907074,0.0,0.0
45,0.2814689725637436,1.0,2.0
46,0.260496586561203,1.0,0.0
47,0.260496586561203,1.0,0.0
48,0.1672496497631073,0.0,0.0
49,0.452540785074234,0.0,1.0
50,0.3242186605930328,0.0,0.0
51,0.5479735657572746,1.0,3.0
52,0.1710182130336761,0.0,0.0
53,0.2748104333877563,0.0,0.0
54,0.3139643967151642,0.0,0.0
55,0.1266153156757354,0.0,0.0
56,0.6286334544420242,0.0,0.0
57,0.2263441681861877,0.0,0.0
58,0.1764861345291137,0.0,0.0
59,0.3493220061063766,0.0,0.0
60,0.3217617720365524,0.0,0.0
61,0.4868201911449432,0.0,0.0
62,0.2604188770055771,0.0,3.0
63,0.9838199615478516,0.0,0.0
64,0.3378929644823074,0.0,0.0
65,0.2947306483983993,0.0,1.0
66,0.3679657429456711,0.0,0.0
67,0.4744871780276299,0.0,0.0
68,0.5064138621091843,0.0,0.0
69,0.9320217967033386,0.0,0.0
70,0.4749206658452749,0.0,0.0
71,0.9880007803440094,0.0,0.0
72,0.3194213956594467,0.0,0.0
