Index,processed_text
80,hashtag bangalore hashtag kundapur put karnataka bjp tenterhook loyal bjp mla halady srinivas shetty quit . repeat
81,bjp push amendment art number hashtag constitution hashtag say india ie bharat shall union state ? hashtag ask hashtag hashtag mohan bhagwat hashtag .
82,"since modi lead bjp , think dirty trick department congress far agressive . repeat might go extremes defame bjp . repeat"
83,unfortunately intelligent person like userkanchangupta see life beyond congress bjp . repeat dada . read . repeat speak mind .
84,sorry tw misunderstand . followin derogatory comment hashtag bhagwat hashtag woman shouldbe housewife husband earn mohan bjp
85,akal takht honouring instagram assassin demonstrate hypocrisy akali dal bjp pb ! outrage ?
86,"wonder senseless statement leader rss bjp mn sponsor congress , make congress seem sensible ! raj thackeray"
87,"rss nevaa teach u number love bjp hate congress , jst support nebdy wo thnk bst country hashtag rss rock hashtag"
88,delhi bjp suspend rape charge leader
89,find alarm find increased reporting rape bjp rule state coming day
90,"hashtag akbaruddin hashtag hashtag owaisi hashtag hashtag hashtag hashtag indian muslim hashtag dynamic leader . hinduus regressive baboon , disaster power hashtag inc hashtag bjp number"
91,prediction jd road number ditch bjp medium demoralise bjp far . congress survival tactic .
92,atleast bjp need show asshole shivanand tiwari deserve place . sale jdu ke sab ke sab kutte hai .
93,"ukd hp go , jharkand , ka surely go guj save one man give sh delhi bjp . repeat go figure"
94,kick jd nda bjp upset jd leader compare rss chief akbaruddin owaisi
95,"date leader several national party nagaland congress , bjp , jd , ncp , tmc rjd"
96,"pitch echo state bjp , back demand slogan solution election ."
97,bjp upset jd leader compare rss chief owaisi jd leader monday say rss chi . repeat hashtag ibn hashtag hashtag top news hashtag
98,venkaiah naidu panel ndtv cartoon channel sanjay nirupam ? repeat suppose boycott . repeat bjp apologise
99,"modi come later gadkari , businessman first , bind far discredit . bjp know congress target ."
100,"shivananda tiwari pretend idiot , laloo mole jdu . may become big joker laloo near future . repeat usersushilmodi"
101,"helpless collation , helpless price rise , helpless development , helpless lawlessness . repeat mm , damn good loser"
102,jharkhand bjp look national leadership guidance hashtag news hashtag
103,"focus sonia , congress , chidramabarm , economy , security , owaisi , delhi incident focus rss , asharam bapu , bjp pathetic medium !"
104,hear honey bunny ring tone fellow person mobile today experience control laughter could tough wink
105,"fuck happen call leader ? . repeat bhagwat , rss , chhattisgarh home minister hashtag bjp hashtag , abu asmi , bjp legislator hashtag rajasthan hashtag hashtag asaram hashtag"
106,bjp must put rss chief anti woman dinosaur bjp parivar place else people like might vote bjp
107,nitin gadkari get second term president bjp ?
108,bjp press conference issue owaisi hate speech hashtag yuva itv hashtag hashtag news hashtag hashtag india hashtag
109,"congress go slow hate speech case , try make owaisi hero bjp"
110,goa bjp go bonkers ? cm equate jesus christ vishnu wagh recite unusual sexist poem . method number dis madness ?
111,like . repeat everything
