datetime,Retweets,Likes,bertweet_score,cardiff_score,vader_score,
10-01-2013 14:24,0,0,0.019379586,0.358068764,0.5,
10-01-2013 16:48,0,0,0.291631043,0.277440116,0.3091,
10-01-2013 19:12,1,0,0.144727796,0.246145278,0.5386,
10-01-2013 21:36,0,0,0.506927512,0.505645588,0.5,
11-01-2013 00:00,0,0,0.513629157,0.501693819,0.70095,
11-01-2013 02:24,0,0,0.509689251,0.53240747,0.60115,
11-01-2013 04:48,0,0,0.014502496,0.077545762,0.03255,
11-01-2013 07:12,0,0,0.819376916,0.692751989,0.70095,
11-01-2013 09:36,1,1,0.123179525,0.226679772,0.352,
11-01-2013 12:00,0,0,0.247956604,0.248829126,0.4871,
11-01-2013 14:24,0,0,0.020323575,0.32192114,0.22885,
11-01-2013 16:48,0,1,0.483126495,0.43886951,0.5,
11-01-2013 19:12,2,1,0.180480093,0.242700428,0.21405,
11-01-2013 21:36,0,0,0.058343083,0.336365655,0.5,
12-01-2013 00:00,0,0,0.044395953,0.217795819,0.1452,
12-01-2013 02:24,0,0,0.320651829,0.328843907,0.2798,
12-01-2013 04:48,1,0,0.500914129,0.499000216,0.648,
12-01-2013 07:12,5,0,0.042030364,0.127918541,0.27425,
12-01-2013 09:36,0,0,0.479841579,0.330717057,0.6806,
12-01-2013 12:00,1,0,0.014288008,0.054000765,0.3409,
12-01-2013 14:24,0,0,0.076735169,0.307457402,0.5258,
12-01-2013 16:48,1,1,0.182764798,0.180830538,0.3634,
12-01-2013 19:12,0,0,0.354100347,0.265911087,0.20705,
12-01-2013 21:36,0,0,0.496392706,0.473522656,0.5,
13-01-2013 00:00,0,0,0.050730675,0.082803249,0.13655,
13-01-2013 02:24,0,0,0.720556751,0.574639209,0.9467,
13-01-2013 04:48,3,0,0.037384599,0.177008927,0.375,
13-01-2013 07:12,0,0,0.52265361,0.465004615,0.61315,
13-01-2013 09:36,0,0,0.031386256,0.122230113,0.2447,
13-01-2013 12:00,0,1,0.991941661,0.971211076,0.9088,
13-01-2013 14:24,1,0,0.50441038,0.468767066,0.70095,
13-01-2013 16:48,0,0,0.503150779,0.494422538,0.7294,
13-01-2013 19:12,0,0,0.513320645,0.485436017,0.5,
13-01-2013 21:36,0,0,0.525200555,0.560604729,0.5,
14-01-2013 00:00,1,2,0.497789282,0.406156845,0.5,
14-01-2013 02:24,0,0,0.022157133,0.064682066,0.18155,
14-01-2013 04:48,0,0,0.960414827,0.949063599,0.8982,
14-01-2013 07:12,0,0,0.994734585,0.957391322,0.9063,
14-01-2013 09:36,0,0,0.020227849,0.114940792,0.1452,
14-01-2013 12:00,0,0,0.011089891,0.309629545,0.1247,
